file,source,label,dataset,speaker_id,language,generator_id,attack_type,codec,sample_rate,license,split,source_url,duration_s,speaker_cosine_vs_real_01,citadel_action,citadel_risk,citadel_latency_ms,sig_spectral_anomaly,sig_steganalysis,sig_ultrasonic_injection,sig_wavlm_paralinguistic,sig_deepfake_detection,sig_waveform_integrity,sig_rmt_divergence,sig_asr_prefix_attack,rms_mean,rms_std,silence_ratio,centroid_mean,centroid_std,flatness_mean,flatness_std,hf_ratio_mean,zcr_mean,pitch_mean,pitch_std,pitch_cv
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/0.wav,unknown_public_web,synthetic,in_the_wild,Alec Guinness,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,1.819,0,,,,,,,,,,,,0.095892,0.092885,0.255556,293.686,87.917,0.052513,0.050094,0.000807,0.040572,127.133,52.231,0.410834
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/1.wav,unknown_public_web,synthetic,in_the_wild,Alec Guinness,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,11.096,0,,,,,,,,,,,,0.064497,0.046139,0.104693,716.833,1432.151,0.101243,0.103572,0.081467,0.102458,101.763,61.27,0.602085
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/2.wav,unknown_public_web,synthetic,in_the_wild,Barack Obama,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,8.098,0,,,,,,,,,,,,0.08393,0.087428,0.235149,724.879,1077.438,0.12551,0.138797,0.053072,0.09667,173.942,42.088,0.241966
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/3.wav,unknown_public_web,synthetic,in_the_wild,Alec Guinness,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,10.431,0,,,,,,,,,,,,0.061633,0.049455,0.146974,407.699,534.336,0.096574,0.077956,0.01168,0.060102,134.755,40.842,0.303084
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/4.wav,in_the_wild,real,in_the_wild,Christopher Hitchens,en,,authentic_public_web,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,0.991,0,,,,,,,,,,,,0.06531,0.083668,0.226804,798.692,572.845,0.26323,0.174569,0.02239,0.11123,160.626,108.134,0.673206
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/5.wav,in_the_wild,real,in_the_wild,Ayn Rand,en,,authentic_public_web,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,3.96,0,,,,,,,,,,,,0.191392,0.149132,0.040609,631.679,642.364,0.120701,0.095289,0.012302,0.087837,168.205,64.524,0.383606
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/6.wav,unknown_public_web,synthetic,in_the_wild,Barack Obama,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,4.619,0,,,,,,,,,,,,0.052126,0.064506,0.356522,1039.63,1404.283,0.150162,0.156147,0.109879,0.139353,175.61,54.291,0.309157
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/7.wav,in_the_wild,real,in_the_wild,Donald Trump,en,,authentic_public_web,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,2.188,0,,,,,,,,,,,,0.100384,0.079878,0.013825,603.228,694.472,0.174799,0.123926,0.011364,0.090243,140.09,20.712,0.147847
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/8.wav,in_the_wild,real,in_the_wild,Donald Trump,en,,authentic_public_web,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,5.146,0,,,,,,,,,,,,0.115151,0.069707,0.009747,636.103,914.386,0.183685,0.099812,0.031895,0.087923,165.433,34.728,0.209925
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/9.wav,in_the_wild,real,in_the_wild,Alec Guinness,en,,authentic_public_web,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,7.937,0,,,,,,,,,,,,0.070931,0.063166,0.164141,393.588,364.131,0.152142,0.091074,0.010449,0.0638,112.643,54.002,0.479409
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10.wav,unknown_public_web,synthetic,in_the_wild,Bernie Sanders,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,8.299,0,,,,,,,,,,,,0.076984,0.087945,0.283816,759.16,1506.037,0.098708,0.123061,0.088516,0.101355,130.829,53.794,0.411173
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/11.wav,in_the_wild,real,in_the_wild,Christopher Hitchens,en,,authentic_public_web,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,4.138,0,,,,,,,,,,,,0.121929,0.069166,0.131068,1100.998,1570.888,0.219965,0.116359,0.116667,0.150292,149.64,65.818,0.439845
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/12.wav,in_the_wild,real,in_the_wild,Calvin Coolidge,en,,authentic_public_web,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,3.896,0,,,,,,,,,,,,0.144537,0.127613,0.0,853.599,407.126,0.087085,0.034072,0.000299,0.11312,223.009,87.723,0.393363
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/13.wav,unknown_public_web,synthetic,in_the_wild,Alec Guinness,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,1.906,0,,,,,,,,,,,,0.11155,0.101176,0.031746,1386.692,2103.698,0.153054,0.127775,0.199379,0.193859,134.824,86.157,0.639033
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/14.wav,in_the_wild,real,in_the_wild,Barack Obama,en,,authentic_public_web,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,1.598,0,,,,,,,,,,,,0.073161,0.115369,0.613924,1371.787,1038.108,0.421342,0.202386,0.109793,0.206584,248.161,87.364,0.352043
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/15.wav,unknown_public_web,synthetic,in_the_wild,Bernie Sanders,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,6.705,0,,,,,,,,,,,,0.076959,0.076918,0.237668,997.542,1673.749,0.144795,0.151864,0.120657,0.132049,128.695,55.459,0.430934
/data/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/16.wav,unknown_public_web,synthetic,in_the_wild,Winston Churchill,en,unknown_public_web,in_the_wild_tts,wav,,cc-by-sa-4.0,eval,https://huggingface.co/datasets/mueller91/In-The-Wild,3.143,0,,,,,,,,,,,,0.087167,0.096853,0.288462,366.24,133.782,0.027051,0.01074,5e-06,0.050372,154.1,81.35,0.527905
